ID,ENTITY_NAME,ACCOUNTING_STANDARD,CONSOLIDATION_TYPE,CURRENCY,FX_RATE,REVENUES,REV__GROWTH____,OPERATING_EBITDA,OPERATING_EBITDA_MARGIN____,OPERATING_EBITDAR,NET_INCOME___CORPORATES,CASH___MARKETABLE_SECURITIES,ST_DEBT,TOTAL_DEBT_WITH_EQUITY_CREDIT,TOTAL_ADJUSTED_DEBT,FUNDS_FLOW_FROM_OPERATIONS,CASH_FLOW_FROM_OPERATIONS,CAPITAL_EXPENDITURE,DIVIDENDS_PAID,FREE_CASH_FLOW,NET__ACQUISITIONS__DIVESTITURES,TOTAL_DEBT__EXCL__NON_RECOURSE_DEBT_,NET_EQUITY_PROCEEDS__BUYBACK_,FFO_INTEREST_COVERAGE__X_,FFO_FIXED_CHARGE_COVERAGE,_OPERATING_EBITDAR_CAPEX____GROSS_INT_EXP,OPERATING_EBITDA___GROSS_INTEREST_EXP_,TOTAL_ADJ__DEBT___OPERATING_EBITDAR__X_,TOTAL_DEBT_WITH_EQUITY_CREDIT___OPERATING_EBITDA,RATING
224,Raizen Energia S/A.,Local GAAP,Con,USD,BRL - USD 3.1241,3898.94,0.02,951.48,0.24,1088.83,449.62,1100.35,385,3594.89,4281.66,1366.53,1345.29,613.95,312.5,418.84,-7.81,3594.89,1.2,7.5,4.9,-6.6,4.6,3.9,3.8,BBB
225,Red Electrica Corporacion S.A.,IFRS,Con,USD,EUR - USD 0.9487,2101.83,0.01,1566.53,0.74,1566.53,671.36,265.02,309.95,5482.11,5482.11,1201.12,1049.01,364.96,456.24,227.81,211.46,5482.11,-3.36,7.9,7.9,-10.83,9.03,3.49,3.49,A
226,Red Star Macalline Group Corporation Ltd.,IFRS,Con,USD,CNY - USD 6.9498,1335.63,0.06,599.53,0.44,684.65,580.77,884.94,674.45,3173.4,3854.36,366.14,390.41,464.46,245.08,-319.12,146.91,3173.4,0,3.23,2.45,-6.54,3.72,5.73,5.4,BBB
227,"REN - Redes Energeticas Nacionais, SGPS, S.A.",IFRS,Noncon,USD,EUR - USD 0.9487,574.72,0.01,500.89,0.87,500.89,105.6,11.37,198.79,2621.63,2621.63,285.6,252.82,159.95,95.55,-30.09,0,2621.63,0,4.37,4.37,-7.09,5.98,5.17,5.17,BBB
228,Repsol Oil & Gas Canada Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,4803,0,2787,0.58,2989,-911,262,1221,5168.5,6689,1920,1890,2118,287,-507,23,5264,-17,7.71,4.93,-14.51,10.03,2.27,1.85,BBB
229,"Repsol, S.A.",IFRS,Noncon,USD,EUR - USD 0.9487,36424.58,-0.12,3965.43,0.1,4393.38,1514.7,4413.41,4400.76,15648.78,18018.34,3501.11,2956.15,3846.32,413.2,-1303.36,-4275.32,16702.86,-96.97,6.08,4.07,-11.12,6.76,3.94,3.54,BBB
230,"Republic Services, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,9387.7,0.02,2677.1,0.28,2733.9,612.6,67.8,5.8,7748.5,8202.9,1909.2,1847.1,927.8,418.9,500.4,37.6,7748.5,-354.1,6.78,5.93,-9.7,8.11,3,2.9,BBB
231,"Rexel, SA",Local GAAP,Noncon,USD,EUR - USD 0.8237,15881.02,0,867.43,0.05,1073.93,242.44,1165.35,449.92,4095.06,5747.12,494.48,516.09,130.51,79.64,305.94,59.73,4095.06,-31.69,3.61,2.25,-5.76,4.58,5.35,4.72,BB
232,Rite Aid Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,32845.07,0.06,1137.14,0.03,2161.77,4.05,245.41,21.34,7375.49,15572.5,496.64,225.86,481.11,0,-255.25,-16.85,7375.49,6.95,2.21,1.35,-6.12,2.78,7.2,6.49,B
233,"Rockwell Automation, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,5879.5,-0.06,1220.8,0.2,1336.3,729.7,271.5,448.6,2018.1,2942.1,929.3,947.3,116.9,378.2,452.2,138.7,2018.1,-471.4,14.25,5.96,-20.35,17.64,2.2,1.65,A
234,"Rockwell Collins, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,6822,0.29,1647,0.24,1731,705,703,633,7368,8040,943,1110,240,194,676,3429,7368,18,5.91,4.42,-10.54,8.58,4.64,4.47,BBB
235,Royal KPN N.V.,Local GAAP,Con,USD,EUR - USD 0.8237,9813.04,-0.04,3225.69,0.32,3510.99,375.14,2763.14,1267.45,11663.23,12715.79,1698.43,1426.49,1788.27,114.12,-475.9,905.67,12893.04,309.58,2.69,2.31,-7.41,3.3,3.97,3.61,BBB
236,RPM International Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,4958.2,0.03,671.5,0.13,732.8,181.8,71.7,253.6,2107.1,2597.5,518.6,386.1,126.1,156.8,103.2,254.2,2107.1,-21.9,7.53,4.67,-8.86,8.53,3.54,3.14,BBB
237,RWE AG,Local GAAP,Noncon,USD,EUR - USD 0.8237,56306.91,-0.1,6989.2,0.12,7289.06,1626.81,7100.28,4057.3,24592.69,25760.59,3969.89,5171.79,4759.01,746.63,-333.86,-441.91,25823.72,0,3.5,3.08,-7.51,4.77,3.65,3.47,BBB
238,Saudi Electricity Company,Local GAAP,Con,USD,SAR - USD 3.7500,13310.61,0.2,5170.32,0.38,5170.32,561.25,325.89,5729.07,22009.33,22009.33,7198.43,8457.95,15003.73,142.99,-6688.77,11.09,22009.33,0,11.8,11.8,-30.26,7.75,4.26,4.26,A
239,Scotland Gas Networks plc,Local GAAP,Con,USD,GBP - USD 0.6943,477.6,-0.04,309.81,0.64,310.1,153.54,1.15,370.59,1973.5,1975.8,225.84,225.84,143.74,0,82.1,0,1973.5,0,5.38,5.35,-7.2,6.12,6.36,6.36,BBB
240,Shenzhen International Holdings Limited,IFRS,Con,USD,HKD - USD 7.7535,744.44,0.08,514.71,0.69,514.71,211.65,638.47,300.3,2239.29,2239.29,396.29,360.16,170.13,100.08,89.95,-36.46,2239.29,10.81,3.91,3.91,-5.74,4.41,3.98,3.98,BBB
241,Sherwin-Williams Company (The),U.S. GAAP,Con,USD,USD - USD 1.0000,11855.6,0.04,2104.8,0.17,2522.3,1204.8,889.8,741.2,1952.5,5292.5,1607.7,1380.8,239,312.1,829.7,0,1952.5,86.8,22.28,4.25,-29.69,27.95,2.1,0.93,BBB
242,Siemens AG,Local GAAP,Con,USD,EUR - USD 0.7947,89627.53,-0.03,10722.29,0.11,12134.14,6490.5,9074.75,2038.51,26357.12,37651.94,7883.48,7987.92,2304.01,3187.37,2496.54,-111.99,26357.12,-1341.39,9.57,4.04,-15.29,14.15,3.04,2.4,A
243,"Sigma Alimentos, S.A. de C.V.",Local GAAP,Con,USD,MXN - USD 20.7314,5129.46,0.13,596.88,0.11,627.59,237.28,619.24,21.33,2307.74,2492.02,461.99,598.92,298.55,82.63,217.73,3.28,2307.74,0,5.19,4.27,-8.61,5.47,3.97,3.87,BBB
244,Signet Jewelers Ltd,U.S. GAAP,Con,USD,USD - USD 1.0000,6421.7,-0.02,1005.2,0.15,1539.2,543.2,98.7,91.1,2030.7,6302.7,819.5,678.3,278,75.6,324.7,0,2030.7,-386.6,14.89,2.38,-36.78,21.34,4.09,2.02,BB
245,Singtel Optus Pty Limited,Local GAAP,Con,USD,AUD - USD 0.9614,9744.12,0,2452.67,0.25,2822.97,818.6,431.66,15.6,2472.44,5434.78,2167.67,2138.55,1133.76,1572.71,-567.92,0,2472.44,0,15.86,5.41,-25.36,15.72,1.93,1.01,A
246,"Smithfield Foods, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,13094.3,0.07,978.4,0.07,1024.9,361.3,324.3,63.5,1964.4,2394.4,597,570.1,290.7,0,279.4,0,1964.4,-188.2,4.99,4.04,-8.08,6.54,2.34,2.01,BBB
247,Snap-on Incorporated,U.S. GAAP,Noncon,USD,USD - USD 1.0000,3711.8,0.03,970.8,0.26,1002,546.4,18.6,301.4,1010.2,1259.8,717.3,576.1,74.3,147.5,354.3,158.2,1010.2,-78.6,15.05,9.72,-20.62,19.04,1.26,1.04,A
248,Solvay SA,IFRS,Con,USD,EUR - USD 0.9185,12027.22,0.03,2051.17,0.17,2139.36,501.91,1774.63,930.87,8247.14,7762.66,1387.04,1279.26,1129.01,351.66,-201.42,5295.59,9437.13,1543.82,6.93,5.3,-27.17,8.91,4.16,3.99,BBB
249,South Eastern Power Networks plc,Local GAAP,Con,USD,GBP - USD 0.8030,559.15,0.15,411.08,0.73,411.08,216.19,49.69,0,1318.56,1318.56,287.05,288.42,245.21,143.59,-100.37,-1.12,1318.56,0,4.43,4.43,-11.1,5.68,3.21,3.21,BBB
250,Southern Gas Networks plc,Local GAAP,Con,USD,GBP - USD 0.6757,1103,-0.02,478.17,0.43,479.21,138.23,7.55,663.02,4070,4078.29,336.1,336.1,107.15,0,228.95,0,4070,0,3.31,3.29,-3.37,3.29,8.49,8.5,BBB
251,Southwestern Energy Company,U.S. GAAP,Con,USD,USD - USD 1.0000,2436,-0.26,669,0.27,677,-2643,1423,41,4684,2998,570,471,593,27,-122,-430,6434,1247,6.59,6.18,-5.29,8.92,7.01,7,BB
252,"Spectra Energy Partners, LP",U.S. GAAP,Con,USD,USD - USD 1.0000,2533,0.03,1548,0.61,1570,1161,216,990,7246,7422,1508,1462,2414,1061,-2013,0,7246,1080,8.21,7.53,-18.28,7.93,4.42,4.37,BBB
253,Stagecoach Group plc,Local GAAP,Noncon,USD,GBP - USD 0.6843,5657.02,0.2,491.3,0.08,526.09,143.07,144.38,78.33,1143.21,1421.45,442.2,407.57,308.05,90.6,8.91,0.73,1143.21,-3.21,10.32,6.36,-9.03,11.3,2.5,2.14,BBB
254,"Starwood Hotels & Resorts Worldwide, LLC",U.S. GAAP,Con,USD,USD - USD 1.0000,3027,-0.07,1176,0.38,1256,489,1048,33,2199,2839,871,890,261,259,370,66,2199,-358,8.85,5.56,-13.67,10.6,2.26,1.87,BBB
255,Sun Hung Kai Properties Limited,IFRS,Con,USD,HKD - USD 7.7505,9689.7,0.39,3465.58,0.35,3646.09,4324.88,2390.56,1192.31,10803.3,12247.34,2989.23,-385.39,1828.14,492.87,-2706.41,0,10803.3,11.74,10.09,6.84,-17.28,11.63,3.09,2.85,A
256,SuperValu Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,12480,-0.28,502,0.04,598,23,332,26,1486,2254,256,301,182,0,172,15,1486,3,2.64,2.02,-4.27,3.17,3.81,3,B
257,Synlab Unsecured Bondco PLC,IFRS,Noncon,USD,EUR - USD 0.9185,1610.67,0.09,291.56,0.18,363.64,-56.51,70.33,125.64,2206.21,2782.8,128.69,131.85,68.15,0,-82.96,111.59,2206.21,-506.48,2.19,1.71,-3.9,2.61,7.85,7.81,B
258,Tata Steel Limited,Local GAAP,Con,USD,INR - USD 66.3329,17661.16,-0.16,1143.57,0.06,1305.5,-459.7,1729.6,2690.93,13341.61,14637.07,317.58,1136.65,1731.55,143.13,-738.03,-17.08,13341.61,0,1.43,1.35,-4.88,1.66,11.21,11.67,BB
259,TAURON Polska Energia S.A.,IFRS,Con,USD,PLN - USD 4.1793,4222.36,-0.03,803.12,0.19,812.72,87.93,57.55,52.57,2048.12,2090.11,618.14,679.25,841.36,0,-162.11,0,2148.54,0,10.99,9.63,-26.74,13.27,2.67,2.53,BBB
260,"Team Health Holdings, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,3597.25,0.27,387.43,0.1,406.23,82.71,30.55,68.9,2459.5,2609.9,209.8,145.82,40.69,0,105.13,1603.11,2459.5,35.48,9.6,5.86,-14.42,15.88,6.42,6.35,B
261,Telefonica SA,Local GAAP,Con,USD,EUR - USD 0.9487,54849.79,-0.05,17314.22,0.31,18448.4,2497.1,4459.79,15154.42,60723.09,64334.56,12754.3,13158.01,9683.78,2524.51,949.72,-751.55,64710.66,358.39,4.5,3.63,-5.86,4.9,3.81,3.61,BBB
262,Tenet Healthcare Corp.,U.S. GAAP,Con,USD,USD - USD 1.0000,19621,0.05,2350,0.11,2685,-187,716,191,15490,18170,1326,1037,875,0,-535,-456,15490,4,2.42,2.05,-3.53,2.41,7.03,6.88,B
263,Tereos Union de Cooperatives Agricoles a Capital V,IFRS,Con,USD,EUR - USD 0.9354,5152.02,0.14,649.24,0.12,692.43,78.15,610.97,1174.26,3428.16,3687.3,539.45,443.55,445.8,32.29,-34.53,1.71,3428.16,30.79,5.02,4.02,-7.8,5.15,5.2,5.15,BB
264,Teva Pharmaceutical Industries Limited,U.S. GAAP,Con,USD,USD - USD 1.0000,21903,0.11,6300,0.28,6464,329,988,3897,36466,34158,1510,4794,901,1558,2590,36148,40086,693,3.68,3.06,-13.49,21.72,5.84,5.79,BB
265,The Hillshire Brands Company,U.S. GAAP,Con,USD,USD - USD 1.0000,12881,-0.02,1573,0.12,1716,364,959,75,2820,3964,913,900,357,302,241,-43,2820,-102,5.99,3.74,-11.52,9.04,2.31,1.79,BBB
266,The Timken Company,U.S. GAAP,Con,USD,USD - USD 1.0000,2669.8,-0.07,390.6,0.14,420.6,152.6,14.8,24.2,659.2,899.2,364.1,402,137.5,81.6,182.9,72.6,659.2,-96.7,13.03,7.03,-16.66,12.98,2.14,1.69,BBB
267,Thermo Fisher Scientific Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,18274.1,0.07,4724.7,0.25,4906.7,2025.3,786.2,1255.5,16701,18157,3357.2,3158.3,444.4,238.4,2473.5,5188.4,16701,-1114.7,8.23,6.17,-11.39,10.32,3.7,3.54,BBB
268,Total Access Communication Public Company Limited,Local GAAP,Con,USD,THB - USD 32.9630,2734.45,-0.04,925.57,0.33,983.87,325.48,176.66,171.84,1021.28,1487.74,799.62,860.68,591.88,327.65,-58.85,0,1021.28,0,24.49,9.66,-38.88,27.22,1.51,1.1,BBB
269,Toyota Motor Corporation,Local GAAP,Noncon,USD,JPY - USD 94.1500,234351.57,0.18,25767.39,0.1,25877.85,10219.86,34739.25,72160.38,150097.72,150981.41,22924.06,26036.11,20968.67,2018.06,3049.39,0,150097.72,-457.78,91.55,63.35,-191.76,105.48,5.83,5.83,A
270,TransDigm Inc.,U.S. GAAP,Noncon,USD,USD - USD 1.0000,3504.29,0.1,1666.38,0.47,1685.38,628.54,650.56,369.04,11873.01,12025.01,882.74,788.73,71.01,2581.55,717.72,215.99,11873.01,-368.64,2.5,2.46,-2.92,2.83,7.13,7.12,B
271,Transelec S.A.,IFRS,Con,USD,CLP - USD 667.2900,422.18,0.01,350.28,0.82,353.2,121.36,81.89,41.58,2121.22,2141.61,290.65,280.94,183.19,121.23,-23.49,-1.14,2121.22,0,4.03,3.94,-5.55,3.84,6.06,6.06,BBB
272,Transportadora de Gas Internacional S.A. ESP (TGI),Local GAAP,Noncon,USD,COP - USD 3000.7100,438.61,0.08,359.76,0.82,359.76,117.28,227.75,0,1047.32,677.32,384.67,684.54,17.71,39.69,627.14,0,1417.32,0,5.96,5.96,-5.01,4.77,2.91,2.91,BBB
273,Tupy S.A.,IFRS,Con,USD,BRL - USD 3.2585,999.02,-0.05,110.03,0.11,110.03,-55.69,369.48,100.78,580.5,580.5,60.48,86.02,39.23,25.92,20.87,-1,580.5,0,1.5,1.5,-3.4,2.4,5.3,5.3,BB
274,"Tyson Foods, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,38260,0.03,4134,0.1,4320,1774,318,906,10268,11756,2839,2599,1069,319,1211,3081,10268,-706,12.37,7.51,-18.52,16.6,2.72,2.48,BBB
275,Unibail-Rodamco SE,Local GAAP,Noncon,USD,EUR - USD 0.9487,1866.03,0.05,1591.34,0.85,1609.68,2539.26,421.74,2120.48,14990.62,15137.35,1267.63,1316.85,1416.36,1015.18,-1114.68,-992.2,14990.62,100.56,4.33,4.17,-7.92,4.4,9.59,9.61,A
276,"United Airlines, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,37864,-0.02,7313,0.19,8067,7301,5190,1359,11204,17236,6085,5981,2747,1233,2001,0,11204,16,10.22,5.3,-16.14,11.08,2.14,1.53,BB
277,"United Continental Holdings, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,36556,-0.03,6953,0.19,8833,2263.5,4177.8,965,11829,26869,6002.5,5542.5,3609,0,1933.5,0,11829,-2608,11.21,3.42,-20.26,11.91,3.04,1.7,BB
278,Usinas Siderurgicas de Minas Gerais S.A. (Usiminas,Local GAAP,Con,USD,BRL - USD 3.2585,2594.51,-0.17,134.28,0.05,134.28,-177.03,692.79,131.53,2236.28,2236.28,-62.18,57.12,63.54,0,-6.42,0,2236.28,322.32,0.77,0.77,-1.5,0.59,13.64,13.64,B
279,Valero Energy Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,70166,-0.14,4843,0.06,5207.1,2289,4816,115,8080,10992.8,3842,4755,1996,1111,1648,0,8080,-1330,10,5.86,-13.97,11.19,2.14,1.69,BBB
280,Veolia Environnement S.A.,IFRS,Con,USD,EUR - USD 0.9487,25709.08,-0.02,2718.67,0.1,3215.56,403.82,5343.31,7006.64,17398.55,21373.67,2361.44,1565.93,1426.69,549.91,-424.16,544.01,17398.55,-7.91,4.72,3.07,-9.07,4.53,6.45,6.18,BBB
281,Viacom Inc.,U.S. GAAP,Noncon,USD,USD - USD 1.0000,12488,-0.05,3048,0.24,3314,1436,379,17,12372.1,14690.1,1985,1371,172,635,564,58,12372.1,-89,4.25,3.26,-5.66,4.99,4.43,4.06,BBB
282,Vivendi SA,Local GAAP,Noncon,USD,EUR - USD 0.9487,11404.03,0,1192.16,0.1,1446.19,1322.86,5244.23,1113.1,4161.48,5787.29,657.74,650.36,247.71,2727.94,-2325.29,2225.15,4161.48,-1628.54,10.54,2.98,-40.15,17.94,4,3.49,BBB
283,VRG Linhas Aereas S.A.,IFRS,Con,USD,BRL - USD 2.3538,3765.13,0.09,255.38,0.06,552.43,-301.54,876.99,168.24,1674.85,3754.19,25.82,470.52,128.97,0,341.54,0,1674.85,0,1.1,1.1,-4.2,1.6,6.8,6.6,B
284,"Walgreens Boots Alliance, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,118214,0,8963,0.07,12226,4078,3301,251,13006,39110,5744,7251,1351,1723,4177,-356,13006,-5003,9.93,2.47,-19.59,13.94,3.2,1.45,BBB
285,Walt Disney Company (The),U.S. GAAP,Con,USD,USD - USD 1.0000,55632,0,17407,0.31,18254,9391,4610,3687,20335.5,27111.5,13380,13213,4773,2313,6127,850,20335.5,-7240,34.63,11.7,-67.31,46.09,1.42,1.12,A
286,Westlake Chemical Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,5075.5,0.13,1077.1,0.21,1164.4,399,309.5,149.3,3847.8,4546.2,768.8,817.4,628.5,96.6,92.3,2436.6,3847.8,-65.2,17.71,6.73,-22.34,23.31,3.96,3.63,BBB
287,Whirlpool Corp.,U.S. GAAP,Con,USD,USD - USD 1.0000,20718,0,2221,0.1,2455,888,85,594,4470,6342,1426,1203,660,294,249,-63,4470,-499,8.2,4.3,-19.35,11.22,2.58,2.01,BBB
288,Whitbread PLC,Local GAAP,Con,USD,GBP - USD 0.7967,3898.58,0.06,1008.41,0.25,1336.26,529.18,66.52,197.56,1129.66,3719.72,742.44,786.37,765.41,209.74,-188.78,-250.16,1129.66,7.03,17.94,3,-44.54,23.03,2.78,1.12,BBB
289,"Windstream Services, LLC",U.S. GAAP,Con,USD,USD - USD 1.0000,5387,-0.06,1261.8,0.23,2030.9,-535.3,59.1,14.9,5049,11201.8,861.1,772.6,989.8,88.5,-305.7,0,5049,0,3.35,1.76,-8.15,3.44,5.52,4,B
290,X5 Retail Group N.V.,IFRS,Noncon,USD,RUB - USD 60.6569,17041.21,0.27,1257.35,0.07,2101.48,367.49,217.45,744.65,2572.39,7637.14,1038.76,1235.06,1173.98,0,61.08,100.05,2572.39,0,4.65,1.92,-11.44,4.42,3.63,2.05,BB
291,"Xylem, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,3771,0.03,605,0.16,668,260,66,260,2392,2896,457,497,124,112,261,1781,2392,20,10.29,5.06,-11.31,12.35,4.33,3.95,BBB
292,Yasar Holding A.S.,IFRS,Con,USD,TRY - USD 3.5224,1001.33,0.1,108.31,0.1,108.31,-24.5,1.31,97.43,503.01,503.01,50.14,0.06,67.97,0,-65.13,-18.23,503.01,2.92,2.25,2.25,-4.03,2.51,5.11,5.11,B
293,YPF S.A.,Local GAAP,Con,USD,ARS - USD 15.9000,13213.84,0.34,3661.38,0.27,3661.38,-1775.91,1151.26,1684.09,9707.23,9707.23,3089.87,2099.75,4035.22,55.91,-1991.38,0,9707.23,-3.14,3.98,3.98,-6.78,3.59,2.63,2.63,B
294,ABB Ltd,Local GAAP,Con,USD,USD - USD 1.0000,39830,-0.04,4954,0.12,5512,2570,5358,353,7691,12155,3644,3713,1026,1841,846,-1040,7691,-965,15.07,5.46,-17.7,18.62,2.26,1.59,A-
295,Accor SA,Local GAAP,Con,USD,EUR - USD 0.8237,6621.34,0,1120.55,0.16,2151.27,275.59,2904.21,99.55,4017.85,11725.14,940.88,1065.92,687.14,239.16,139.61,1224.96,4556.27,128.69,14.02,1.85,-45.27,15.92,5.65,3.52,BBB-
296,AES Gener S.A.,IFRS,Con,USD,USD - USD 1.0000,2286.4,0.05,773.08,0.33,773.08,261.01,478.23,183.11,3494.26,3269.26,384.3,515.29,562.68,93.37,-140.76,-2.33,3719.26,21.27,3.05,3.05,-7.1,4.35,4.52,4.52,BBB-
297,Air Canada,Local GAAP,Con,USD,CAD - USD 1.3427,10930.96,0.05,1694.35,0.15,2124.45,652.42,1728.9,526.55,5006.33,8447.16,1695.09,1803.08,2175.47,0,-372.38,-523.57,5006.33,-68.52,7.73,3.45,-15.44,6.87,3.98,2.96,BB-
298,Airbus SE,Local GAAP,Noncon,USD,EUR - USD 0.8237,73707.66,0.05,6368.82,0.08,6634.7,2844.48,15135.36,1302.66,8868.52,10995.51,6175.79,3279.11,3093.36,712.64,-526.89,-1216.46,8868.52,186.96,17.46,10.56,-17.65,17.78,1.62,1.36,A-
299,Alfa S.A.B. de C.V.,IFRS,Noncon,USD,MXN - USD 20.7314,14170.87,0.13,2086.4,0.14,2247.36,112.1,1188.2,424.81,7000.49,7966.27,1382.4,1311.34,1257.51,146.78,-92.95,-17.94,7000.49,0,4.62,3.54,-11.33,5.2,3.77,3.59,BBB-
300,Allergan plc,U.S. GAAP,Con,USD,USD - USD 1.0000,14570.6,-0.03,7548.6,0.51,7596.3,-941.1,8186.9,2797.9,32837.9,28289.8,1111.4,1146.9,333.4,278.4,652.4,-32605.3,37767.6,-14904.3,1.67,1.65,-6.12,5.91,4.37,4.35,BBB-
301,"Allergan, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,7237.9,0.14,2662.1,0.36,2735.5,1528,4966.4,72.1,2142.1,2729.3,1969.5,1927.8,262.9,59.6,1605.3,65.7,2142.1,-318.2,24.52,13.51,-49.97,31.92,1,0.81,BBB-
302,"Alliance Resource Operating Partners, L.P.",U.S. GAAP,Con,USD,USD - USD 1.0000,1931.45,-0.15,702.34,0.36,719.34,339.4,39.78,177.07,662,798,684.71,706.56,91.06,247.91,367.59,22.85,662,1.05,24.39,15.8,-26.22,24.09,1.1,0.94,BBB-
303,Alltel Corporation,U.S. GAAP,Con,USD,USD - USD 1.0000,8803.1,0.11,3025.5,0.34,3308.9,184.1,833.3,140.1,23514.8,25782,2169.9,1968.7,1052.9,176.6,967.4,25071.7,23514.8,3210.5,8.49,4.79,-9.47,10.44,7.79,7.77,A-
304,"Alpek, S.A.B. de C.V.",Local GAAP,Con,USD,MXN - USD 20.7314,4350.5,0.07,599.24,0.13,636.62,174.86,141.57,134.24,1184.87,1409.16,311.22,215.71,288.5,94.49,-190.87,18.81,1184.87,-2.22,6.13,4.13,-16.27,9.37,2.4,2.16,BBB-
305,"Altria Group, Inc.",U.S. GAAP,Noncon,USD,USD - USD 1.0000,19337,0.02,9189,0.47,9242,14239,4569,0,14017.1,14441.1,3860,3791,189,4512,-910,-231,14017.1,-1030,5.96,5.65,-13.38,12.81,1.45,1.41,A-
306,America Movil S.A.B. de C.V.,Local GAAP,Con,USD,MXN - USD 20.7314,47050.01,0.09,12451.46,0.26,12810.29,417.21,1766.02,4622.68,33844.05,35997,9759.71,10101.21,7477.73,666.14,1957.34,82.4,33844.05,-338.68,7.2,6,-12.6,8.2,2.8,2.7,A-
307,"American Airlines Group, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,40180,-0.01,7932,0.19,10632,2676,5594,1855,24573,46173,6377,6524,5731,224,569,-123,24573,-4500,7.55,2.72,-15.79,8.23,4.34,3.1,BB-
308,"American Axle & Manufacturing Holdings, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,3948,0.01,629.7,0.15,656.6,240.7,481.2,3.3,1415.9,1631.1,428.9,407.6,227.6,0,180,3.9,1415.9,-4.9,5.88,4.73,-8.85,7.22,2.48,2.25,BB-
309,AmerisourceBergen Corp.,U.S. GAAP,Con,USD,USD - USD 1.0000,146849.69,0.08,2340.03,0.01,2428.83,1427.93,2158.93,611.15,4211.27,5197.67,2150.29,3178.5,464.62,288.48,2425.4,2731.36,4211.27,168.9,18.38,11.11,-20.05,18.95,2.14,1.8,A-
310,Amprion GmbH,IFRS,Noncon,USD,EUR - USD 0.7579,13655.36,0.42,523.82,0.03,540.97,271.41,228.79,1265.21,1511.94,1649.16,577.91,-697.98,412.98,92.36,-1203.32,-14.51,1511.94,1.32,21.17,13.48,-34.27,18.82,3.05,2.89,A-
311,Andeavor,U.S. GAAP,Con,USD,USD - USD 1.0000,24005,-0.14,2594,0.1,3170,1301,3295,465,7042,11650,1457,1665,894,249,522,421,7042,116,8.32,2.88,-12.62,11.95,3.94,2.96,BBB-
312,Anglo American plc,Local GAAP,Con,USD,USD - USD 1.0000,27073,-0.07,7104,0.26,7286,-2513,6748,1618,18535,19991,4603,4612,5974,1099,-2461,37,18535,-97,6.34,5.38,-18.19,8.09,2.89,2.75,BBB-
313,Anhui Conch Cement Company Limited,IFRS,Con,USD,CNY - USD 6.1190,9929.48,0.09,3173.9,0.31,3173.9,1794.56,2289.94,380.65,3254.82,3254.82,2390.36,2738.46,1058.78,303.11,1376.56,170.74,3254.82,0,13.58,13.58,-23.69,17.03,1.03,1.03,A-
314,Anixter International Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,7622.8,0.23,395,0.05,492.8,121.1,115.1,0,1396,2178.4,214.8,278.8,32.6,0,246.2,4.7,1396,2.4,3.84,2.24,-6.68,5.22,4.42,3.53,BBB-
315,"Arrow Electronics, Inc.",U.S. GAAP,Con,USD,USD - USD 1.0000,23825.26,0.02,1131.16,0.04,1209.68,522.75,167.02,93.83,2808.06,3436.23,767.54,355.81,164.69,0,191.11,64.75,2808.06,-197.48,6.41,4.48,-9.12,7.98,2.84,2.48,BBB-
316,AstraZeneca PLC,Local GAAP,Con,USD,USD - USD 1.0000,23002,-0.06,6258,0.27,6362,3499,4518,2307,16808,17640,3219,4145,2314,3561,-1730,1348,16808,47,5.55,4.94,-14.06,9.24,2.77,2.69,A-
317,AT&T Inc.,U.S. GAAP,Con,USD,USD - USD 1.0000,163786,0.11,52068,0.31,56550,12976,5012,9832,118673,156369,40805,39344,22408,11797,5139,2313,118673,-366,8.16,5.01,-13.62,9.15,2.76,2.28,A-
318,AT&T Mobility LLC,U.S. GAAP,Con,USD,USD - USD 1.0000,34433,0.77,8399,0.24,10045,333,472,2036,21376,34544,7971,8401,7475,0,926,155,21376,0,6.3,3.53,-13.9,5.59,3.44,2.54,A-
